Model,Text_ID,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum,Summary,Text_length,Summary_length
emilstabil/DaMedSum-small,text1,32.6241134751773,11.510791366906474,19.858156028368796,19.858156028368796,"Kronisk grøn stær er en af de hyppigste årsager til blindhed i Danmark, men den præcise forekomst kendes ikke. Behandlingen består af øjendråber og tabletter, der sænker trykket i øjnene til et niveau, som synsnerven kan tåle. Det er vigtigt at tage hensyn til en arvelighed, så man ikke kan mærke nogen effekt.",6017,311
emilstabil/DaMedSum-small,text2,27.956989247311824,8.79120879120879,19.354838709677416,19.354838709677416,"Keratoconus er en tilstand, hvor hornhinderne bliver udtyndet, så hornhindens overflade kommer til at bule frem. Tilstanden udvikles oftest i teenageårene, men i perioder kan udviklingen standse helt. Det nedsatte syn kan forværres pludseligt (akut keratoconus).",3251,262
emilstabil/DaMedSum-small,text3,39.53488372093024,26.190476190476193,39.53488372093024,39.53488372093024,"Gammelmandssyn er nedsat evne til at se skarpt på objekter, der er tæt på, fordi linsens krumning bliver nedsat med alderen. Ændringer af krumningen er en forudsætning for at ændre fokus og både fokus og fokus.",3545,210
emilstabil/DaMedSum-small,text4,46.35761589403974,21.476510067114095,25.165562913907287,25.165562913907287,"Fedtsugning er blandt de hyppigst udførte kosmetiske indgreb i USA. Den hyppigste kosmetisk kirurgiske indgreb er at fjerne uønskede lokaliserede ansamlinger af fedt fra flere fedtlag i kroppen, som er vanskelige at få væk gennem diæt og træning. Det kan være fristende at bede plastikkirurgen om at suge så meget fedt ud af underhuden, men store sår indvendigt. Det er ikke nødvendigt at slanke sig og heller ikke en behandling mod mavefedme.",5421,443
emilstabil/DaMedSum-small,text5,25.910931174089068,4.081632653061225,8.906882591093119,8.906882591093119,"Brystforstørrelse med ens eget fedtvæv er en ny metode til at genvinde en bryststørrelse, som man havde tidligere i livet eller før graviditet eller større vægttab. Ved operationen lægger kirurgen et snit i huden under brystet, men adgang til kanten af brystvæggen kan også anvendes i vid udstrækning til genskabe brystet efter sygdom som f.eks. brystkræft. Der findes mange forskellige typer brystimplantater.",7092,410
emilstabil/DaMedSum-small,text6,28.260869565217394,17.777777777777775,26.08695652173913,26.08695652173913,"Hydroxychloroquin er en medicin til behandling af visse typer af malaria. Sygdommen er hovedpine, kvalme og kvalme, og eventuelt besvær med at se skarpt tæt på. Hvis man har epilepsi eller psoriasis, bør man begynde på behandlingen en uge før indrejse til et område med malaria i fire uger efter, at man har forladt malariaområde.",3041,330
emilstabil/DaMedSum-small,text7,22.950819672131146,12.154696132596685,19.672131147540984,19.672131147540984,"Hormoner styrer cyklus. Menstruationscyklus styres af flere hormoner, som passer ned i hjernevedhænget. Hver måned producerer hyperfysen hormoner og giver ægløsning. Symptomerne er uregelmæssige menstruationer eller ophør af menstruation.",1536,238
emilstabil/DaMedSum-small,text8,41.09589041095891,15.277777777777779,21.91780821917808,21.91780821917808,"Når en baby græder meget, kan det være svært at forholde sig mildt og roligt, hvis ens barn græder uafbrudt i timevis. Det er vigtigt at genfinde roen. Hvis du har forsøgt alt, hvor madet, bøvset, skiftet, båret rundt på og kærtegnet barnet, kan du blive træt og træt, når barnet græder, men det græder ikke for at genere dig. Det kan være vigtigt, at både barnet og babyen får dækket behovene for mad, pleje og søvn.",2155,417
emilstabil/DaMedSum-small,text9,35.406698564593306,14.492753623188403,22.966507177033495,22.966507177033495,"To forskellige slags sovesyge er alvorlige og kan føre til døden, hvis de ikke behandles i tide. De fleste forbinder afrikansk sovesyg med en parasitsygdom, som forekommer i Østafrika og en mere kronisk form i Vest- og Centralafrika. Sygdommen giver først infektioner i indre organer for til slut at angribe centralnervesystemet og hjernen. Det kan være nødvendigt at tage flere blodprøver.",4472,390
emilstabil/DaMedSum-small,text10,28.368794326241137,8.633093525179856,22.69503546099291,22.69503546099291,"Peniskræft er en kræftsygdom, som udgår fra huden på penis eller spidsen af penis. Denne form for kræft er unormale knuder på penis, et sår eller blod i urinen. Nogle har ildelugtende udflåd og sår under forhuden, som ikke svinder efter kort tid eller ikke forsvinder på trods af forsøg på behandling med binyrebarkhormoncreme. Behandlingen foregår kun på Rigshospitalet og Aarhus Universitetshospital.",2948,402
