Model,TextID,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum,summary,text_length,summary_length
gpt-3.5-turbo,text0,46.15384615384615,25.974025974025977,39.743589743589745,39.743589743589745,"Kronisk grøn stær medfører skader på synsnerven og kan føre til blindhed. Forhøjet tryk i øjet øger risikoen for at få grøn stær. Sygdommen kan behandles ved at sænke trykket i øjet med medicin, laserbehandling eller kirurgi. Regelmæssig kontrol hos øjenlægen er nødvendig for at sikre, at behandlingen er effektiv. Arvelighed og visse faktorer som alder og øjenskader kan øge risikoen for at få sygdommen.",6017,406
gpt-3.5-turbo,text1,41.269841269841265,9.67741935483871,25.396825396825395,25.396825396825395,"Keratoconus er en tilstand, hvor hornhindens centrale del bliver udtyndet, så hornhindens overflade buer frem. Tilstanden udvikler sig oftest i teenageårene og medfører sløret syn og nærsynethed. Keratoconus kan være arveligt og ses hyppigere hos personer med visse syndromer. Behandling kan bestå af kontaktlinser, medicindrypning eller i svære tilfælde hornhindetransplantation. Tilstanden er relativt sjælden med en forekomst på ca. 1 promille af befolkningen.",3251,463
gpt-3.5-turbo,text2,43.2,17.88617886178862,27.199999999999996,27.199999999999996,"Gammelmandssyn, eller presbyopi, er en aldersrelateret tilstand, hvor linsens evne til at ændre krumning bliver nedsat, hvilket resulterer i nedsat evne til at se skarpt på nært hold. Symptomerne inkluderer svært ved at stille skarpt på objekter, der er tæt på, som bogstaver eller ansigter. Tilstanden behandles med briller med pluslinse til læsning og nært arbejde. Gammelmandssyn påvirker alle mennesker, men problemerne er mindre for dem, der i forvejen er nærsynede.",3545,471
gpt-3.5-turbo,text3,33.51351351351351,5.46448087431694,17.297297297297295,17.297297297297295,"Fedtsugning, også kendt som liposkulpturering og liposuction, er en kosmetisk kirurgisk procedure, der fjerner uønskede fedtaflejringer på kroppen. Operationen efterlader kun små sår på huden, men har stor indvirkning på indersiden. Fordelene inkluderer fjernelse af fedt, der er svært at tabe sig ved kost og motion, mens bivirkningerne inkluderer hævelse og smerter efter indgrebet. Resultaterne afhænger af patientens dose, og det anbefales kun at fjerne op til 3 liter fedt. Der er dog risiko for komplikationer, og det er vigtigt at være i god sundhed før operationen. I USA er fedtsugning den mest udførte kosmetiske operation, men det præcise antal operationer i Danmark er ukendt.",5421,688
gpt-3.5-turbo,text4,34.48275862068966,6.177606177606176,16.85823754789272,16.85823754789272,"I Danmark skal man være mindst 18 år gammel for at få kosmetisk kirurgi. Formålet med brystforstørrelse er at få større bryster eller genskabe en tidligere størrelse efter graviditet eller vægttab. Operationen kan gøres ved at indsætte proteser/implantater eller transplantere fedt fra kroppen til brysterne. Det anbefales at få en mammografi før operationen, og der kan være bivirkninger og komplikationer forbundet med indgrebet. Brystforstørrelse er en populær operation både i USA og Danmark.",7092,496
gpt-3.5-turbo,text5,17.431192660550458,4.62962962962963,11.926605504587156,11.926605504587156,"Hydroxychloroquin er et tidligere anvendt middel til forebyggelse af malaria hos rejsende, men er ikke længere effektivt mod den ondartede malaria, der skyldes Plasmodium falciparum. Det kan dog stadig bruges til forebyggelse af godartet malaria, som skyldes Plasmodium vivax. Bivirkninger er sjældne og forsvinder efter ophør med behandlingen. Det bør undgås af personer med epilepsi og psoriasis. Hydroxychloroquin kan anvendes til børn under 5 kg og yngre end 3 måneder, voksne der ikke tåler anden medicin og gravide, hvis det er nødvendigt. Doseringen varierer afhængig af alder og vægt. Gravide bør undgå at rejse til områder med malaria, men hvis det er nødvendigt, skal de være forsigtige med myggestik og konsultere en specialist inden rejsen. Det er vigtigt at informere sin læge om anden medicin, da det kan påvirke effekten af hydroxychloroquin. Ingen medicin giver fuld beskyttelse mod malaria, og det er vigtigt at søge læge, hvis man får feber efter ophold i et malariaområde. Malaria kan være livsfarlig, hvis den ikke behandles i tide.",3041,1052
gpt-3.5-turbo,text6,37.07317073170732,13.79310344827586,30.24390243902439,30.24390243902439,"Menstruationscyklussen styres af hormoner produceret af hypotalamus og hypofysen. Forstyrrelser i disse hormoner kan forårsage problemer som uregelmæssige menstruationer og infertilitet. Årsager til hormonforstyrrelser kan være følelsesmæssige faktorer, narkotikamisbrug, vægtændringer, svulster og sygdomme i æggestokkene. Symptomer på hormonforstyrrelser inkluderer uregelmæssige menstruationer, øget hårvækst og vægtstigning.",1536,428
gpt-3.5-turbo,text7,46.774193548387096,18.0327868852459,24.19354838709678,24.19354838709678,"Når babyen græder uafbrudt, kan det være svært at bevare roen. Dette resume giver råd til at genfinde roen og undgå at miste besindelsen. Det anbefales at undgå at bebrejde sig selv eller barnet, sørge for nok søvn og tid for en selv, tage en kort pause og kontakte andre for hjælp, være tålmodig, ringe til lægen ved behov og aldrig ryste barnet.",2155,347
gpt-3.5-turbo,text8,53.10344827586208,25.694444444444443,35.862068965517246,35.862068965517246,"Der er to former af afrikansk sovesyge; en akut form, kaldet den rhodesiske form, som forekommer i Østafrika og en mere kronisk form, kaldet den gambiske form, som forekommer i Vest- og Centralafrika. Begge former kan føre til døden, hvis de ikke behandles. Symptomerne på sygdommen inkluderer feber, hovedpine, smerter i muskler og led, nedsat madlyst, søvnbesvær og irriterede lymfeknuder. Diagnosen stilles ved at påvise parasitten i blod, lymfesystem eller rygmarvsvæske. Behandling foregår på en infektionsmedicinsk specialafdeling. For at undgå sygdommen bør turister undgå at blive bidt af tsetse-fluen ved at holde bilvinduerne lukkede og bruge lyst og tykt tøj. Dødeligheden er næsten 100% for ubehandlede tilfælde. Den kroniske form af sovesyge er mest udbredt i Central- og Østafrika, mens den akutte form er relativt sjælden med hundrede rapporterede årlige tilfælde i Østafrika.",4472,891
gpt-3.5-turbo,text9,38.82352941176471,13.095238095238097,23.52941176470588,23.52941176470588,"Peniskræft er en kræftsygdom, der rammer ældre mænd og opstår på huden på penis. Symptomerne inkluderer unormale knuder, sår og blod i urinen. Lægen kan stille diagnosen ved at tage en vævsprøve. En dårlig hygiejne og høj alder er faktorer, der kan øge risikoen for at udvikle peniskræft. Behandlingen kan involvere kirurgi, strålebehandling og kemoterapi. Renlighed og forebyggelse af HPV-infektion er vigtige foranstaltninger. Prognosen afhænger af, om kræften har spredt sig til lymfeknuderne. I Danmark opdages der årligt omkring 50 tilfælde af peniskræft.",2948,560
